,Разметка: Для ума/ Для души / Для тела,direction,leve3,quantity
160,Для тела,Физическая активность,Настольный теннис,48803
249,Для ума,Образование,ОНЛАЙН Английский язык,12806
136,Для тела,Физическая активность,Бильярд,12171
185,Для тела,Физическая активность,Скандинавская ходьба,11477
194,Для тела,Физическая активность,Тренажеры,11398
177,Для тела,Физическая активность,ОФП,9023
48,Для души,Танцы,Бальные танцы,8934
311,Для ума,Образование,Осваиваем мобильные устройства,8906
218,Для ума,Образование,Английский язык,8814
139,Для тела,Физическая активность,Волейбол,7810
242,Для ума,Образование,Курсы компьютерной грамотности,7744
266,Для ума,Образование,ОНЛАЙН Испанский язык,6710
291,Для ума,Образование,ОНЛАЙН Психологические тренинги,6322
162,Для тела,Физическая активность,ОНЛАЙН Гимнастика,5769
67,Для души,Танцы,Танцы для всех,5571
171,Для тела,Физическая активность,ОНЛАЙН Суставная гимнастика,5406
285,Для ума,Образование,ОНЛАЙН Осваиваем мобильные устройства,5113
267,Для ума,Образование,ОНЛАЙН История искусства,4893
165,Для тела,Физическая активность,ОНЛАЙН Здоровая спина,4477
277,Для ума,Образование,ОНЛАЙН Курсы компьютерной грамотности,4093
207,Для ума,Игры,ОНЛАЙН Иные интеллектуальные игры,3901
13,Для души,Пение,Хоровое пение,3813
200,Для тела,Физическая активность,Футбол,3715
147,Для тела,Физическая активность,Дыхательная гимнастика,3642
202,Для тела,Физическая активность,Цигун,3606
24,Для души,Рисование,ОНЛАЙН Различные техники рисования,3507
281,Для ума,Образование,ОНЛАЙН Немецкий язык,3478
250,Для ума,Образование,ОНЛАЙН Английский язык для начинающих,3474
176,Для тела,Физическая активность,ОНЛАЙН Цигун,3398
274,Для ума,Образование,ОНЛАЙН Краеведение и онлайн-экскурсии,3380
260,Для ума,Образование,ОНЛАЙН Здорово жить,3317
142,Для тела,Физическая активность,Гимнастика,3282
149,Для тела,Физическая активность,Здоровая спина,3264
170,Для тела,Физическая активность,ОНЛАЙН Оздоровительная гимнастика,3175
9,Для души,Пение,Пение,3162
241,Для ума,Образование,Краеведение и пешие прогулки,3137
199,Для тела,Физическая активность,Фитнес,3080
301,Для ума,Образование,ОНЛАЙН Французский язык,2918
288,Для ума,Образование,ОНЛАЙН Правильное питание,2770
134,Для тела,Физическая активность,Бадминтон,2658
273,Для ума,Образование,ОНЛАЙН Китайский язык,2572
53,Для души,Танцы,Латиноамериканские танцы,2524
271,Для ума,Образование,"ОНЛАЙН История, культура России",2279
2,Для души,Образование,"ОНЛАЙН История, культура России",2279
103,Для души,Творчество,ОНЛАЙН Мастер-класс по уходу за кожей в зрелом возрасте,2237
152,Для тела,Физическая активность,Йога,2221
219,Для ума,Образование,Английский язык для начинающих,2148
189,Для тела,Физическая активность,Суставная гимнастика,2095
272,Для ума,Образование,ОНЛАЙН Итальянский язык,2062
318,Для ума,Образование,Психологические тренинги,1948
246,Для ума,Образование,Немецкий язык,1940
27,Для души,Рисование,Различные техники рисования,1869
163,Для тела,Физическая активность,ОНЛАЙН Дыхательная гимнастика,1807
169,Для тела,Физическая активность,ОНЛАЙН ОФП,1791
178,Для тела,Физическая активность,Оздоровительная гимнастика,1786
278,Для ума,Образование,ОНЛАЙН Ментальная арифметика,1747
210,Для ума,Игры,ОНЛАЙН Шахматы и шашки,1687
257,Для ума,Образование,ОНЛАЙН Гимнастика мозга,1667
233,Для ума,Образование,Испанский язык,1658
51,Для души,Танцы,Классические танцы,1637
193,Для тела,Физическая активность,Тир. Стрельба из пневматического/лазерного оружия,1595
287,Для ума,Образование,ОНЛАЙН Перезагрузка (программа школы для помощи внукам)/ знай учебник лучше внука,1426
286,Для ума,Образование,ОНЛАЙН Основы духовной культуры,1419
212,Для ума,Игры,Шахматы,1418
166,Для тела,Физическая активность,ОНЛАЙН Йога,1350
289,Для ума,Образование,ОНЛАЙН Правовая грамотность,1348
225,Для ума,Образование,Гимнастика мозга,1324
151,Для тела,Физическая активность,Иные подвижные игры,1251
327,Для ума,Образование,Французский язык,1250
141,Для тела,Физическая активность,ГТО,1199
262,Для ума,Образование,ОНЛАЙН Здоровый образ жизни (ЗОЖ),1197
251,Для ума,Образование,ОНЛАЙН Английский язык разговорный,1196
114,Для души,Творчество,ОНЛАЙН Фотостудия/видеостудия,1134
270,Для ума,Образование,"ОНЛАЙН История, культура Москвы",1053
50,Для души,Танцы,Исторические танцы,1028
46,Для души,Спецпроект / Московский театрал,Московский театрал,951
256,Для ума,Образование,ОНЛАЙН География. Путешествия вокруг света,942
240,Для ума,Образование,Китайский язык,934
167,Для тела,Физическая активность,ОНЛАЙН Корригирующая гимнастика для глаз,904
150,Для тела,Физическая активность,Зумба,898
380,Для ума,Творчество,ОНЛАЙН Ландшафтный дизайн,865
99,Для души,Творчество,ОНЛАЙН Ландшафтный дизайн,865
180,Для тела,Физическая активность,Пилатес,865
198,Для тела,Физическая активность,Физкультурно-оздоровительные занятия,863
18,Для души,Рисование,ОНЛАЙН Акварельная живопись,826
62,Для души,Танцы,ОНЛАЙН Танцы для всех,819
238,Для ума,Образование,Итальянский язык,780
313,Для ума,Образование,Памятники культуры,775
98,Для души,Творчество,ОНЛАЙН Кулинарные курсы,773
52,Для души,Танцы,Клубные танцы,748
220,Для ума,Образование,Английский язык разговорный,739
279,Для ума,Образование,ОНЛАЙН Москвоведение,719
321,Для ума,Образование,Работа на компьютере и в социальных сетях,693
208,Для ума,Игры,ОНЛАЙН Иные настольные игры,691
263,Для ума,Образование,ОНЛАЙН Здоровый сон,684
64,Для души,Танцы,Современные танцы,680
16,Для души,Рисование,ИЗО,667
14,Для души,Рисование,Акварельная живопись,666
131,Для тела,Спецпроект / Тренировки долголетия (спецпроект по медицинской реабилитации),Тренировки долголетия (спецпроект по медицинской реабилитации),649
303,Для ума,Образование,ОНЛАЙН Школа пчеловода,642
217,Для ума,Образование,Авторские курсы/маршруты,621
47,Для души,Спецпроект / Московский театрал,ОНЛАЙН Московский театрал,605
213,Для ума,Игры,Шахматы и шашки,591
110,Для души,Творчество,ОНЛАЙН Садоводство,584
247,Для ума,Образование,ОНЛАЙН Автомобильная школа,550
275,Для ума,Образование,ОНЛАЙН Краеведение и онлайн-экскурсии по Москве и России,548
175,Для тела,Физическая активность,ОНЛАЙН Физкультурно-оздоровительные занятия,531
228,Для ума,Образование,Здорово жить,508
299,Для ума,Образование,ОНЛАЙН Турецкий язык,481
308,Для ума,Образование,Обучение игре на гитаре,474
109,Для души,Творчество,ОНЛАЙН Рукоделие и творчество,471
332,Для ума,Образование,Электронные услуги: учимся пользоваться,466
132,Для тела,Физическая активность,Адаптивная и тонизирующая гимнастика,465
161,Для тела,Физическая активность,ОНЛАЙН Адаптивная и тонизирующая гимнастика,455
234,Для ума,Образование,История искусства,453
304,Для ума,Образование,"ОНЛАЙН Экономическая, финансовая грамотность",438
126,Для души,Творчество,Фотостудия/видеостудия,424
331,Для ума,Образование,Экскурс в историю,413
69,Для души,Танцы,Хореография,405
84,Для души,Творчество,Музыка,400
19,Для души,Рисование,ОНЛАЙН Графика,395
20,Для души,Рисование,ОНЛАЙН ИЗО,393
12,Для души,Пение,Фольклорная песня,391
265,Для ума,Образование,ОНЛАЙН Искусство коммуникаций,381
11,Для души,Пение,Современная песня,376
121,Для души,Творчество,Рукоделие и творчество,376
187,Для тела,Физическая активность,Стрейчинг,372
381,Для ума,Творчество,ОНЛАЙН Литература,360
100,Для души,Творчество,ОНЛАЙН Литература,360
101,Для души,Творчество,ОНЛАЙН Литературная мастерская,356
56,Для души,Танцы,ОНЛАЙН Бальные танцы,350
144,Для тела,Физическая активность,Дартс,349
148,Для тела,Физическая активность,Дыхательная гимнастика по системе Стрельниковой,343
155,Для тела,Физическая активность,Каратэ,340
306,Для ума,Образование,ОНЛАЙН Эмоциональный интеллект,332
201,Для тела,Физическая активность,Хоккей/хоккей на траве/хоккей в зале,331
